"","transcriptome","Term_unique","n_species","n_divided","n_Pgen","Pgen_normalized","normalized","log_scale"
"102","Manila_r","DNA recombination",9,0.00647482014388489,124,0.00704105388677531,0.919581109306103,-0.0838370285984697
"103","Manila_r","cellular amino acid metabolic process",9,0.00647482014388489,88,0.00499687695190506,1.29577338129496,0.259107722528361
"104","Manila_r","mitotic nuclear division",9,0.00647482014388489,132,0.00749531542785759,0.863848920863309,-0.146357385579804
"105","Manila_r","nucleocytoplasmic transport",8,0.00575539568345324,108,0.00613253080461075,0.938502531308287,-0.0634697257740359
"106","Manila_r","ribosome biogenesis",8,0.00575539568345324,69,0.00391800579183465,1.46896048378688,0.384554996752924
"107","Manila_r","carbohydrate metabolic process",7,0.00503597122302158,159,0.00902844812901028,0.557789240305868,-0.583774093494571
"108","Manila_r","protein localization to plasma membrane",7,0.00503597122302158,68,0.00386122309919936,1.30424248836225,0.265622403549554
"109","Manila_r","gene silencing by RNA",6,0.00431654676258993,34,0.00193061154959968,2.23584426576386,0.804618904282241
"110","Manila_r","inflammatory response",6,0.00431654676258993,135,0.00766566350576344,0.563101518784972,-0.574295349540027
"111","Manila_r","mitochondrion organization",6,0.00431654676258993,168,0.00953949236272784,0.452492291880781,-0.792984550504856
"112","Manila_r","muscle system process",6,0.00431654676258993,127,0.00721140196468116,0.598572480598199,-0.513207657560189
"113","Manila_r","telomere organization",6,0.00431654676258993,80,0.00454261541082278,0.95023381294964,-0.0510472057754788
"114","Manila_r","sulfur compound metabolic process",5,0.00359712230215827,109,0.00618931349724604,0.581182760213847,-0.542690010124696
"115","Manila_r","cellular modified amino acid metabolic process",4,0.00287769784172662,76,0.00431548464028164,0.666830745929572,-0.405219019496093
"116","Manila_r","cytoplasmic translation",4,0.00287769784172662,17,0.000965305774799841,2.98112568768515,1.09230097673402
"117","Manila_r","meiotic nuclear division",4,0.00287769784172662,79,0.0044858327181875,0.641508059375285,-0.443933531676783
"118","Manila_r","tRNA metabolic process",4,0.00287769784172662,40,0.00227130770541139,1.26697841726619,0.236634866676302
"119","Manila_r","snRNA metabolic process",3,0.00215827338129496,16,0.000908523082164556,2.3755845323741,0.865243526098676
"120","Manila_r","wound healing",3,0.00215827338129496,97,0.00550792118562262,0.39184899503078,-0.936878730164925
"121","Manila_r","extracellular matrix organization",2,0.00143884892086331,58,0.00329339617284652,0.436889109402133,-0.828075870316126
"122","Manila_r","protein folding",2,0.00143884892086331,29,0.00164669808642326,0.873778218804267,-0.134928689756181
"123","Manila_r","protein maturation",2,0.00143884892086331,107,0.00607574811197547,0.236818395750689,-1.44046169423161
"124","Manila_r","NA",1,0.000719424460431655,1,5.67826926352848e-05,12.6697841726619,2.53921995967035
"125","Manila_r","detoxification",1,0.000719424460431655,18,0.00102208846743513,0.703876898481215,-0.351151798225817
"126","Manila_r","lysosome organization",1,0.000719424460431655,16,0.000908523082164556,0.791861510791367,-0.233368762569433
"127","Manila_r","nitrogen cycle metabolic process",1,0.000719424460431655,6,0.000340696155811709,2.11163069544365,0.747460490442293
"128","Manila_r","protein glycosylation",1,0.000719424460431655,55,0.00312304809494066,0.230359712230216,-1.46811322556212
"129","Manila_r","renal system process",1,0.000719424460431655,48,0.00272556924649367,0.263953836930456,-1.33198105123754
"130","Manila_r","respiratory system process",1,0.000719424460431655,17,0.000965305774799841,0.745281421921287,-0.293993384385868
"131","Mercenaria","anatomical structure development",247,0.112374886260237,1853,0.105218329453183,1.0680162557631,0.0658029611741359
"132","Mercenaria","signaling",189,0.0859872611464968,1603,0.0910226562943615,0.944679760480945,-0.056909286718392
"133","Mercenaria","cell differentiation",170,0.0773430391264786,1281,0.0727386292657998,1.06330075101984,0.0613779859850462
"134","Mercenaria","DNA-templated transcription",88,0.0400363967242948,741,0.042075975242746,0.95152629245824,-0.0496879599863619
"135","Mercenaria","cytoskeleton organization",87,0.0395814376706096,516,0.0292998693998069,1.3509083310409,0.30077720400454
"136","Mercenaria","cell motility",83,0.037761601455869,595,0.0337857021179944,1.11767993821733,0.111255053082487
"137","Mercenaria","regulation of DNA-templated transcription",82,0.0373066424021838,678,0.0384986656067231,0.969037285169408,-0.0314521898446239
"138","Mercenaria","reproductive process",71,0.0323020928116469,536,0.0304355232525126,1.0613286501976,0.059521566802032
"139","Mercenaria","immune system process",66,0.0300272975432211,670,0.0380444040656408,0.789269756766667,-0.236647119527068
"140","Mercenaria","programmed cell death",63,0.0286624203821656,600,0.0340696155811709,0.841289808917198,-0.172819077993095
"141","Mercenaria","vesicle-mediated transport",62,0.0282074613284804,484,0.0274828232354778,1.02636694515675,0.0260253291599784
"142","Mercenaria","protein-containing complex assembly",58,0.0263876251137398,444,0.0252115155300664,1.04664969792358,0.0455942989457132
"143","Mercenaria","nervous system process",48,0.0218380345768881,358,0.0203282039634319,1.07427270093178,0.0716438753387092
"144","Mercenaria","mitotic cell cycle",47,0.0213830755232029,363,0.0206121174266084,1.03740314886812,0.0367206182767264
"145","Mercenaria","cilium organization",46,0.0209281164695177,178,0.0101073192890807,2.07059021991392,0.727833697028528
"146","Mercenaria","cell adhesion",44,0.0200181983621474,387,0.0219749020498552,0.910957342004594,-0.0932592082800021
"147","Mercenaria","lipid metabolic process",40,0.0181983621474067,352,0.0199875078076202,0.910486806187443,-0.0937758706526422
"148","Mercenaria","protein catabolic process",39,0.0177434030937216,302,0.017148373175856,1.03469891352162,0.0341104795862955
"149","Mercenaria","carbohydrate derivative metabolic process",38,0.0172884440400364,301,0.0170915904832207,1.01151756807004,0.0114517458090287
"150","Mercenaria","microtubule-based movement",37,0.0168334849863512,161,0.00914201351428085,1.84133232356914,0.61048939849128
"151","Mercenaria","cell junction organization",36,0.0163785259326661,279,0.0158423712452445,1.03384308315477,0.0332830074662628
"152","Mercenaria","membrane organization",35,0.0159235668789809,278,0.0157855885526092,1.00874077807817,0.00870279863029529
"153","Mercenaria","transmembrane transport",34,0.0154686078252957,330,0.018738288569644,0.825508037609948,-0.191756279012846
"154","Mercenaria","DNA repair",30,0.013648771610555,181,0.0102776673669865,1.32800285543362,0.283676201227848
"155","Mercenaria","mRNA metabolic process",28,0.0127388535031847,197,0.0111861904491511,1.13880177179993,0.129976632268734
"156","Mercenaria","intracellular protein transport",24,0.010919017288444,219,0.0124354096871274,0.878058508980767,-0.130042048637037
"157","Mercenaria","defense response to other organism",23,0.0104640582347589,294,0.0166941116347737,0.626811325075981,-0.467109700578013
"158","Mercenaria","carbohydrate metabolic process",22,0.0100090991810737,159,0.00902844812901028,1.10861789734521,0.103114101969603
"159","Mercenaria","nucleobase-containing small molecule metabolic process",22,0.0100090991810737,172,0.00976662313326898,1.02482700975517,0.0245238273763814
"160","Mercenaria","circulatory system process",21,0.00955414012738853,189,0.0107319289080688,0.890253766049944,-0.116248726504701
"161","Mercenaria","autophagy",20,0.00909918107370337,161,0.00914201351428085,0.995314769496832,-0.00469624059895362
"162","Mercenaria","cytokinesis",19,0.0086442220200182,96,0.00545113849298734,1.58576452077646,0.461066638530123
"163","Mercenaria","establishment or maintenance of cell polarity",17,0.00773430391264786,105,0.0059621827267049,1.2972269162442,0.260228844730211
"164","Mercenaria","chromatin organization",16,0.00727934485896269,115,0.00653000965305775,1.11475254183645,0.10863244470805
"165","Mercenaria","nucleocytoplasmic transport",16,0.00727934485896269,108,0.00613253080461075,1.18700502139993,0.17143334594708
"166","Mercenaria","DNA recombination",15,0.00682438580527752,124,0.00704105388677531,0.969227890457601,-0.0312555136713082
"167","Mercenaria","chromosome segregation",15,0.00682438580527752,140,0.00794957696893987,0.858458988691018,-0.152616370675576
"168","Mercenaria","DNA replication",14,0.00636942675159236,102,0.00579183464879905,1.09972524041464,0.0950603671625063
